Clase,Clave,Tema,Subdivición.,,,,
3400,P,Antropología,Período terciario.,,,,
3500,P,Antropología, Período cuaternario.,,,,
3600,P,Antropología,Período paleolítico.,,,,
3700,P,Antropología,Período neolítico.,,,,
3800,P,Antropología,Edad del Cobre y del Bronce,,,,
3900,P,Antropología,Edad de Hierro (razas históricas más antiguas).,,,,
4000,P,Antropología,Generalidades - Antropología etnológica - Descripción de los pueblos (ordenados por países).,,,,
4100,P,Antropología,Europa (por países).,,,,
5000,P,Antropología,Asia.,,,,
5010,P,Antropología,Siberia.,,,,
5050,P,Antropología,Turkestán.,,,,
5100,P,Antropología,Persia.,,,,
5150,P,Antropología,Afganistán.,,,,
5170,P,Antropología,Baluchistán.,,,,
5200,P,Antropología,"Asia Menor, Armenia, Siria, Arabia y Mesopotamia. ",,,,
5400,P,Antropología,India y Ceilán.,,,,
5500,P,Antropología,Más India.,,,,
5600,P,Antropología,Imperio chino.,,,,
5800,P,Antropología,Japón y Corea.,,,,
5900,P,Antropología,Malay Archipelago.,,,,
6000,P,Antropología,Oceania.,,,,
6050,P,Antropología,Micronesia.,,,,
6400,P,Antropología,Melanesia.,,,,
6600,P,Antropología,Polinesia.,,,,
6700,P,Antropología,Australia.,,,,
7000,P,Antropología,África.,,,,
7050,P,Antropología,Norte de África.,,,,
7200,P,Antropología,"Egipto, Nubia, Sudán egipcio, Abisinia.",,,,
7500,P,Antropología,África Oriental.,,,,
7600,P,Antropología,"África occidental, cuenca del Níger.",,,,
7700,P,Antropología,"Cuenca del Congo, etc.",,,,
7800,P,Antropología,Sudáfrica.,,,,
8000,P,Antropología,América,,,,
8100,P,Antropología,América del Norte.,,,,
8500,P,Antropología,América Central y las Indias Occidentales.,,,,
8700,P,Antropología,América del Sur,,,,
9000,P,Antropología,Sistemas de clasificación de las razas.,,,,
9100,P,Antropología,Por caracteres físicos.,,,,
9200,P,Antropología,Por idioma.,,,,
9300,P,Antropología,Por instituciones.,,,,
9400,P,Antropología,Por culturas.,,,,
9500,P,Antropología,Por religiones.,,,,
0000,E,Astronomía,Filosofía,,,,
0010,E,Astronomía,Historia. (Para la historia de los observatorios ver 2010). Biografía,,,,
0020,E,Astronomía,"Publicaciones periódicas. Anuarios. Premios. Informes de instituciones, sociedades, Congresos, etc. (Para informes de Observatorios ver 2010).",,,,
0030,E,Astronomía,"Tratados Generalidadeses, libros de texto, Diccionarios, Obras Completas, Cuadros",,,,
0032,E,Astronomía,"Bibliografías (general; para las especiales  Bibliografías especiales, véase la
 Sección).",,,,
0040,E,Astronomía,"Discursos, conferencias, etc., de carácter general",,,,
0050,E,Astronomía,Pedagogía.,,,,
0060,E,Astronomía,"Instituciones, Museos, Colecciones.",,,,
0070,E,Astronomía,Nomenclatura.,,,,
0100,E,Astronomía,Generalidades- Astronomía esférica (geométrica). ,,,,
0105,E,Astronomía,Aplanamiento aparente de los cielos - Tamaño aparente de los cuerpos celestes,,,,
0110,E,Astronomía,"Esfera Celeste; Coordenadas,  su Transformación y Variación Diferencial.",,,,
0150,E,Astronomía,"Longitud (geográfica), Latitud (véase también 5100 ; J 80), Línea meridiana, salida y puesta, etc",,,,
0200,E,Astronomía,Reducción al Centro de la Tierra.,,,,
0210,E,Astronomía,"Refracción, crepúsculo, inmersión del  Horizonte. (Véase también C 3210 ; F 0520.)",,,,
0220,E,Astronomía,"Paralaje, Diámetro.",,,,
0240,E,Astronomía,Corrección del movimiento de la Tierra y Equinoccios.,,,,
0250,E,Astronomía,Aberración. (Ver también 3310.),,,,
0260,E,Astronomía,Precesión y nutación. (Véase también 1710. 3320.),,,,
0270,E,Astronomía,Paralelo anual.,,,,
0280,E,Astronomía,Reducción de estrellas (de media a lugar aparente).,,,,
0300,E,Astronomía,Geocéntrico y Heliocéntrico  Coordenadas,,,,
0310,E,Astronomía,Cálculo de efemérides.,,,,
0350,E,Astronomía,"Eclipses, Ocultaciones, Apulsiones, Tránsitos (de planetas y satélitesa través del disco del Sol o de los Planetas). (Vertambién 4210 - 4350, 4860, 4870).",,,,
1000,E,Astronomía,Generalidades-Astronomía teórica y mecánica celeste,,,,
1050,E,Astronomía,Ley de la Gravitación Universal. (Ver también C 0700 ; J 02.),,,,
1100,E,Astronomía,Generalidades,,,,
1110,E,Astronomía,Movimiento orbital de dos cuerpos ; Leyes de Kepler.,,,,
1120,E,Astronomía,Cálculo de las órbitas.,,,,
1130,E,Astronomía,Planetas ; Cometas ; Corrientes meteóricas.,,,,
1160,E,Astronomía,Corrección de Órbitas ; Aplicación del Método de los Mínimos Cuadrados.,,,,
1200,E,Astronomía,"Problema de tres o más cuerpos ; Naturaleza de las integrales, convergenciade las series, órbitas periódicas, Carácter de las órbitas.",,,,
1250,E,Astronomía,Perturbaciones generales ; Teoría planetaria en general,,,,
1260,E,Astronomía,Teoría y aplicación numérica (tablas) de mercurio,,,,
1270,E,Astronomía,Teoría y aplicación numérica (Tablas) de Venus.,,,,
1280,E,Astronomía,Teoría y aplicación numérica (Tablas) de la Tierra.,,,,
1290,E,Astronomía,Teoría y aplicación numérica Aplicación Numérica (Tablas) de Planetas Intra - Mercuriales.,,,,
1300,E,Astronomía,Teoría y aplicación numérica (tablas) de Marte.,,,,
1310,E,Astronomía,Teoría y aplicación numérica (tablas) de los planetas menores,,,,
1320,E,Astronomía,Teoría y aplicación numérica (tablas) de Júpiter,,,,
1330,E,Astronomía,Teoría y aplicación numérica (tablas) de Saturno. ,,,,
1340,E,Astronomía,Teoría y aplicación numérica (tablas) de Urano. ,,,,
1350,E,Astronomía,Teoría y aplicación numérica (tablas) de Neptuno,,,,
1360,E,Astronomía,Teoría y aplicación numérica (tablas) de los planetas extra - neptunianos.,,,,
1400,E,Astronomía,Teoría de la Luna.,,,,
1450,E,Astronomía,Teoría de los satélites (exc. Luna de la Tierra) en general,,,,
1460,E,Astronomía,Teoría de los satélites y del sistema de anillosde Saturno.,,,,
1470,E,Astronomía,Teoría de los satélites del planeta intra - mercurial,,,,
1480,E,Astronomía,Teoría de los satélites de Mercurio.,,,,
1490,E,Astronomía,Teoría de los satélites de Venus.,,,,
1500,E,Astronomía,Teoría de los satélites de Marte,,,,
1510,E,Astronomía,Teoría de los satélites de los planetas menores.,,,,
1520,E,Astronomía,Theory of Satellites of Jupiter.,,,,
1530,E,Astronomía,Teoría de los satélites de Urano,,,,
1540,E,Astronomía,Theory of Satellites of Neptune.,,,,
1550,E,Astronomía,Teoría de los satélites de Planetas Extra - Neptunianos.,,,,
1560,E,Astronomía,Corrección de elementos. ,,,,
1570,E,Astronomía,Construcción de tablas.,,,,
1590,E,Astronomía,"Perturbaciones especiales ; Aplicación del método de la mecánica,Cuadraturas",,,,
1600,E,Astronomía,figuras de Equilibrio de Masas RotantesMasas de Fluidos Gravitantes. (Véase también ? 2470.),,,,
1610,E,Astronomía,"Figura de la Tierra, sus océanos y la Atmósfera.",,,,
1630,E,Astronomía,Figura del Sol.,,,,
1640,E,Astronomía,Figura de los planetas (por separado para cada planeta).,,,,
1660,E,Astronomía,"Figura de los satélites, inel. Anillo Sistema de Saturno.",,,,
1680,E,Astronomía,Figura de cometas y corrientes meteóricas Meteoros.,,,,
1700,E,Astronomía,Rotación Perturbada ; Reacción sobre otros cuerpos.,,,,
1710,E,Astronomía,"Precesión y nutación de la Tierra. (Ver también 0260, 3320.)",,,,
1720,E,Astronomía,Movimiento de los polos en la superficie de la Tierra.,,,,
1730,E,Astronomía,Libración de la Luna. (Véase también 4830.),,,,
1740,E,Astronomía,Libración de planetas y satélites,,,,
1750,E,Astronomía,"Teoría de las mareas. (Véase también J 41, 95.)",,,,
1770,E,Astronomía,Constitución del Sistema Solar.,,,,
1780,E,Astronomía,Leyes generales de distribución de Planetas y Cometas.,,,,
1790,E,Astronomía,"Origen, estabilidad y desarrollo del sistema",,,,
1800,E,Astronomía,Generalidades,,,,
1810,E,Astronomía,Estructura del universo,,,,
1829,E,Astronomía,Teoría de las Estrellas Dobles ; Cálculo de Órbitas a partir de Observaciones Ordinarias o Espectroscópicas. (Efemérides sec 7530.),,,,
1830,E,Astronomía,"El medio resistente, el éter, la temperatura del Universo.",,,,
1840,E,Astronomía,Movimiento del sistema solar en el espacio,,,,
1850,E,Astronomía,"Teoría de las Estrellas Variables, incluyendo nuevas Estrellas",,,,
1860,E,Astronomía,Teoría de las nebulosas y los cúmulos. Sistemas estelares.,,,,
1900,E,Astronomía,Generalidades,,,,
2000,E,Astronomía,Observatorios (General).,,,,
2010,E,Astronomía,"Historia, situación, descripción de la situación, descripción, informes, personal, etc.",,,,
2020,E,Astronomía,"Construcción de obsevatorios ; Cúpulas, Pilas, Suelos Elevados y sillas de observación, cabañas portátiles, etc.",,,,
2030,E,Astronomía,"Instrumentos (general) ; Instrumentos antiguos, astrolabios, etc.",,,,
2040,E,Astronomía,"Objetivos (Lentes, Espejos) ; Cálculo, Trabajo práctico,Examen de superficies, Montaje en tubo, SustanciasSustancias ópticas, Vidrio yFabricación de Vidrio,
 Comparación de reflectores yRefractores. (Véase también C3000 - 3100.) Materias ópticas, imágenes,Diafragmas, Pantallas.Refractores visuales.Refractores fotográficos.Dobles fotográficos.",,,,
2050,E,Astronomía,"Monturas ecuatoriales (Descripción,etc.) y relojes de accionamiento.Refractores visuales, fotográficosRefractores.Dobles fotográficos (Lentes de Retrato). Espejos. Heliómetros.
 Heliostatos, Coelostatos. Relojes de accionamiento,Péndulos, y Conexiones Intermedias",,,,
2070,E,Astronomía,"Instrumentos Meridianos (Montaje y  Descripción). Círculo de Tránsito, Visual y
 Fotográfico. Telescopio cenital, visual y Fotográfico. Otros instrumentos meridianos.",,,,
2080,E,Astronomía,"Instrumentos extra - meridianos para Posición Absoluta.  Altazimut. 
 Instrumento de Tránsito en la Primera Vertical.  Almucantar. Varios.",,,,
2090,E,Astronomía,"Pequeños instrumentos portátiles (Sextantes, etc.). (Véase también J 90.)",,,,
2100,E,Astronomía,"Instrumentos auxiliares.  Relojes, Cronómetros, Relojes,  Cronógrafos. (Véase también ?  0150.)  Círculos (Graduación, etc.). Niveles. Horizonte mercurial.",,,,
2120,E,Astronomía,"Oculares y Accesorios. Oculares, Iluminación, Pantallas Oculares Solares, etc.
 Lentes de aumento, lentes de corrección, etc. Soportes de Placas Fotográficas,
 Obturadores de exposición, etc.",,,,
2130,E,Astronomía,"Aparatos fotográficos, materiales y procesos, placas, revelado, almacenamiento de placas y negativos, desvanecimiento de imágenes.",,,,
2140,E,Astronomía,"Micrómetros.Para telescopios visuales. Auto - registro, para Tránsitos. Para Medir Fotografías, Solares yEsteilares. Estereocomparador.",,,,
2200,E,Astronomía,Aparato espectroscópico.,,,,
2210,E,Astronomía,Prisma objetivo. Rejilla del objetivo.,,,,
2220,E,Astronomía,Espectroscopios solares y espectrógrafos con rendijas. Espectroscopios y espectrógrafos para eclipses. Espectroscopios y espectrógrafos estelares. Espectroscopios y espectrógrafos para el estudio de las nebulosas. Espectroscopios oculares.,,,,
2240,E,Astronomía,Combinaciones de prismas con desviación. Combinaciones de prismas con visión directa. Hendidura.,,,,
2250,E,Astronomía,Aparatos auxiliares.  Producción de espectros de comparación. Lente de corrección para observaciones espectroscópicas.,,,,
2260,E,Astronomía,Micrómetro de observación visuales. Espectros fotográficos varios.,,,,
2270,E,Astronomía,Espetroliógrafo y aparato para imágenes monocromáticas.,,,,
2280,E,Astronomía,"Teoría, ajuste. Comparación de la eficacia de los instrumentos.",,,,
2300,E,Astronomía,Aparato de polarización.,,,,
2400,E,Astronomía,"Fotometría, general.  Visual.  Fotográfica. Espectrofotometría.",,,,
2500,E,Astronomía,Itadiometría (Bolometría).,,,,
2000,E,Astronomía,Varios.,,,,
3000,E,Astronomía,"Ajuste de los instrumentos, instrucciones de montaje. Reducción y rectificación general de las observaciones.",,,,
3030,E,Astronomía,Generalidades.,,,,
3050,E,Astronomía,"Ecuatoriales, incluyendo la velocidad del reloj y Refracción. Heliómetro",,,,
3070,E,Astronomía,Círculo de Tránsito. Otros meridianos Instrumentos.,,,,
3080,E,Astronomía,Altazimut. Almucantar. Otros Instrumentos extra - meridianos.,,,,
3100,E,Astronomía,"Micrómetro, visual y Fotográfico. Refracción. Aberración.",,,,
3200,E,Astronomía,"Ecuaciones personales, incluyendo Ecuación de Magnitud, Decimal y todas las causas fisiológicas de Causas de Error (Irradiación, etc.).",,,,
3220,E,Astronomía,"Errores de tornillos, círculos, etc, Flexión.",,,,
3250,E,Astronomía,"Reducción de las Fotografías, Errores de Medidas.",,,,
3290,E,Astronomía,General. Cosmogonía. Determinación de la Astronomía.,,,,
3300,E,Astronomía,Generalidades - Constantes por observación. ,,,,
3310,E,Astronomía,"Constante de Aberración. (Véase también
 0250.)",,,,
3320,E,Astronomía,"Constante de Precesión y Nutación. (Véase también 0260, 1710.). Movimiento solar. (Véase también 1840.)",,,,
3350,E,Astronomía,Varios. Refracción.,,,,
4000,E,Astronomía,Generalidades - Sistema Solar.,,,,
4010,E,Astronomía,Sol. General.,,,,
4020,E,Astronomía,Observaciones de la posición.,,,,
4030,E,Astronomía,"Constantes, (Dimensiones Masa, Densidad, etc.).",,,,
4050,E,Astronomía,Paralaje solar.,,,,
4060,E,Astronomía,Rotación (ver también 4640 para Determinación espectroscópica).,,,,
4070,E,Astronomía,"Manchas, Faculæ, Cromosfera, Corona y otras envolturas sin Eclipse.",,,,
4100,E,Astronomía,"Fenómenos periódicos de superficie (Mancha solar Cyele, ete.).",,,,
4110,E,Astronomía,Conexión de los procesos solares con los Fenómenos terrestres. (Véase también F 0460.),,,,
4200,E,Astronomía,"Temperatura, Brillo, Radiación, Bolometría. (Ver también F 0830, 0940 ; C 4210.)",,,,
4210,E,Astronomía,Eclipses. (Ver también 0350.),,,,
4220,E,Astronomía,"Predicciones, efemérides, mapas de la zona del eclipse (Sehattenbahn).",,,,
4230,E,Astronomía,Tiempos de contacto (Observaciones).,,,,
4240,E,Astronomía,"Corona. General. Forma. El brillo y la ley de Brillo. Espectro. (Ver abajo, 4660.)
 Polarización. Efectos térmicos. Cambios periódicos. Fotografías, dibujos. Corona y Cromosfera. ",,,,
4300,E,Astronomía,Cromosfera. General. Extensión radial. Forma de las Prominencias y Cambios de ídem.,,,,
4320,E,Astronomía,"Espectro (ver abajo, 4700). Cambios periódicos. Fotografías, dibujos",,,,
4340,E,Astronomía,"Luna en la Corona, Cuentas del día, etc.",,,,
4350,E,Astronomía,Fenómenos terrestres durante los eclipses.,,,,
4360,E,Astronomía,"Fotografías y dibujos del Sol (es decir, referencias a reproducciones publicadas).",,,,
4500,E,Astronomía,Espectro solar (vista total del sol). General.,,,,
4510,E,Astronomía,"Espectro ultravioleta. Longitudes de onda, mapas, Fotografías",,,,
4520,E,Astronomía,"Espectro visible. Visual, fotográfico. (Longitudes de onda, mapas, fotografías).",,,,
4070,E,Astronomía,"Manchas, facetas. Cromosfera, corona y otros desarrollados fuera de los eclipses.",,,,
4100,E,Astronomía,"Fenómenos superficiales periódicos (Ciclo de manchas solares, etc.).",,,,
4110,E,Astronomía,"Conexión de los fenómenos solares con fenómenos terrestres (véase también
 también F 0460).",,,,
4120,E,Astronomía,"Temperatura, luminosidad, radiación,  bolometría (véase también C 4210; F
 0930, 0940).",,,,
4200,E,Astronomía,"Eclipses (véase también 0350).  Predicciones, efemérides, mapas del rastro de la sombra.",,,,
4210,E,Astronomía,Horarios de contacto (observaciones).,,,,
4220,E,Astronomía,Corona. Generalidades. Formulario.,,,,
4230,E,Astronomía,"El resplandor y las leyes de su resplandor. Espectro (ver abajo 4660). Polarización. Efectos térmicos. Cambios periódicos. Fotografías, dibujos. Corona y cromosfera. Cromosfera. Generalidades",,,,
4300,E,Astronomía,Extensión radial. Formas de las protuberancias y sus cambios de forma. Espectro (ver abajo 4700).,,,,
4320,E,Astronomía,"Cambios periódicos. Fotografías, dibujos.",,,,
4340,E,Astronomía,"La luna en la corona, el rosario en las cuentas de Baily. etc.",,,,
4350,E,Astronomía,Fenómenos terrestres durante los eclipses.,,,,
4360,E,Astronomía,"Fotografías y dibujos del Sol (Ej, referencias a reproducciones publicadas).",,,,
4500,E,Astronomía,Espectro solar (luz integral del soled). Información general.,,,,
4510,E,Astronomía,"Espectro ultravioleta. Longitudes de onda, mapas, fotografías. Espectro visible",,,,
4520,E,Astronomía,"Visual, fotográfico (longitudes de onda mapas, fotografías)",,,,
4530,E,Astronomía,"Espectro ultra - rojo. Fotográfico, Bolométrico (Tablas de longitudes de onda, Mapas, Fotografías).",,,,
4540,E,Astronomía,Identificación de líneas con elementos.,,,,
4550,E,Astronomía,"Cambios en las multas (anchura, intensidad, posición).",,,,
4560,E,Astronomía,Líneas brillantes.,,,,
4570,E,Astronomía,Distribución de la energía en espectro.,,,,
4580,E,Astronomía,Multas telúricas.,,,,
4600,E,Astronomía,Investigaciones espectroscópicas de la superficie sin eclipse. Espectroheliogramas.,,,,
4610,E,Astronomía,Puntos.,,,,
4620,E,Astronomía,Faculæ.,,,,
4630,E,Astronomía,Cromosfera sin eclipse.,,,,
4640,E,Astronomía,Determinación de la rotación.,,,,
4650,E,Astronomía,Investigaciones espectroscópicas del Sol en eclipse.,,,,
4660,E,Astronomía,Corona.,,,,
4700,E,Astronomía,Cromosfera. Invirtiendo capa.,,,,
4750,E,Astronomía,Constitución física deducida de Observaciones espectroscópicas.,,,,
4780,E,Astronomía,Planetas. General.,,,,
4800,E,Astronomía,Luna. General.,,,,
4810,E,Astronomía,Observaciones para la posición.,,,,
4820,E,Astronomía,"Constantes, dimensiones (diámetro y figura), masa, densidad, distancia.",,,,
4830,E,Astronomía,"Rotación (Libración ver también 1730), Configuración de la superficie, cambios en ídem",,,,
4840,E,Astronomía,Ambiente.,,,,
4850,E,Astronomía,"Temperatura, Radiación, Brillo, fases, luz Cenizas.",,,,
4860,E,Astronomía,Eclipses. (Véase también 0350.),,,,
4870,E,Astronomía,"Ocultación (estrellas, planetas, por separado). (Véase también 0350.)",,,,
4880,E,Astronomía,Influencia en los fenómenos terrestres. (Ver tambiénMareas y F 0480.),,,,
4890,E,Astronomía,"Fotografías, mapas, dibujos (reproducciones publicadas).",,,,
5000,E,Astronomía,Tierra. General.,,,,
5050,E,Astronomía,Geodesia (véase J 70).,,,,
5100,E,Astronomía,"Longitud, Latitud (véase J 70). Variación de latitud. Observación del péndulo (véase B 0170). Perturbación de gravedad (véase B 0180).",,,,
5300,E,Astronomía,"Influencia cósmica en los fenómenos terrestres. (Para la influencia solar, véase 4110; para la influencia lunar, véase 4880)",,,,
5400,E,Astronomía,"Ambiente. Refracción. (Ver 3350.). Absorción. (Ver 6160, C 3240, 3850 : F. 0960.). Centelleo. (Véase C 3210.). Aurora. (Véase también F 1650.). Polvo.(Véase F 0420.)",,,,
5500,E,Astronomía,Planetas Intra - Mercuriales.,,,,
5600,E,Astronomía,Mercurio. General.,,,,
5610,E,Astronomía,Observaciones de posición.,,,,
5620,E,Astronomía,"Constantes, dimensiones, diámetro y figura, masa y densidad.",,,,
5630,E,Astronomía,Distancia. (Ver también 4050.),,,,
5640,E,Astronomía,"Rotación, Configuración de la cara Sur. ",,,,
5650,E,Astronomía,Ambiente.,,,,
5660,E,Astronomía,"Temperatura, Radiación, Luminosidad, Fases.",,,,
5670,E,Astronomía,"Tránsitos, Ocultación. (Ver también 4050, 4870.)",,,,
5680,E,Astronomía,"Fotografías, mapas y dibujos.",,,,
5690,E,Astronomía,Espectro. (Véase también 6820.),,,,
5700,E,Astronomía,Venus. (Como Mercurio.) ,,,,
5800,E,Astronomía,Marte. (Como Mercurio.) ,,,,
5900,E,Astronomía,"Planetas menores. (Como en el caso anterior, por orden de número dereferencia en cada sección).",,,,
6500,E,Astronomía,Jupiter.,,,,
6100,E,Astronomía,Saturno.,,,,
6200,E,Astronomía,Urano.,,,,
6300,E,Astronomía,Neptuno.,,,,
6400,E,Astronomía,Planetas extra - neptunianos.,,,,
6500,E,Astronomía,Satélites de planetas intramercuriales.,,,,
6510,E,Astronomía,Mercurio. ,,,,
6520,E,Astronomía,Venus. ,,,,
6530,E,Astronomía,Marte. ,,,,
6540,E,Astronomía,Planetas menores. ,,,,
6550,E,Astronomía,Jupiter.,,,,
6560,E,Astronomía,Saturno ( y el sistema de anillos).,,,,
6570,E,Astronomía,Urano.,,,,
6580,E,Astronomía,Neptuno.,,,,
6590,E,Astronomía,Planetas extra - neptunianos.,,,,
6600,E,Astronomía,"Cometas. Generalidades, Aspecto físico, Familias. Descubrimiento.  Elementos de la órbita. Efemérides. Observaciones de posición. Aspecto físico, colas, etc. Spectrum(véase también 6920). Fotografías, dibujos.",,,,
6650,E,Astronomía,Meteoros y estrellas fugaces. Generalidades.,,,,
6700,E,Astronomía,Conexiones entre cometas y meteoros.,,,,
6720,E,Astronomía,"Luz zodiacal, Gegenschein, etc.",,,,
6800,E,Astronomía,"Espectroscopia de la Luna, Planetas, Cometas, Luz Zodiacal, AtmósferaTerrestre (Aurora, Meteoros).",,,,
6810,E,Astronomía,Luna. General. Atmósfera. Estudio de la superficie.,,,,
